,,,,,,,,,,,,
下单时间,订单id,推id,宝贝标题,订单状态,下单金额,实际金额,单价,数目,颜色尺寸,佣金比例,佣金,返回标签
2014-10-31 11:16,1.41031E+13,3100223781,欧美饰品韩版首饰时尚手链,等待支付,6.99,0,6.99,1,颜色：绿色,10.00%,0,13431060402
2014-10-31 11:16,1.41031E+13,3100223781,欧美饰品韩版首饰时尚手链,等待支付,6.99,0,6.99,1,颜色：绿色,10.00%,0,13431060402
